r rdf
4.862812500000000426e+00 1.844329557653870133e-01
4.887187500000000462e+00 1.334640659268001017e-01
4.911562500000000497e+00 1.881357604265914696e-01
4.935937500000000533e+00 9.910942673453118634e-02
4.960312500000000568e+00 1.972448050490669680e-01
4.984687500000000604e+00 2.344458933145694979e-01
5.009062499999999751e+00 1.844737504912807025e-01
5.033437499999999787e+00 2.105775350110196953e-01
5.057812499999999822e+00 1.773222875912998098e-01
5.082187499999999858e+00 1.657765591063201926e-01
5.106562499999999893e+00 1.969178944069146231e-01
5.130937499999999929e+00 1.642014849105356555e-01
5.155312499999999964e+00 2.530453448541221673e-01
5.179687500000000000e+00 1.941378770741111204e-01
5.204062500000000036e+00 2.663420776999403938e-01
5.228437500000000071e+00 3.690613268261388469e-01
5.252812500000000107e+00 3.621748192735189109e-01
5.277187500000000142e+00 4.892526550694236698e-01
5.301562500000000178e+00 4.818768679161689050e-01
5.325937500000000213e+00 4.337454888553567978e-01
5.350312500000000249e+00 4.114508661131733858e-01
5.374687500000000284e+00 4.196980826003107179e-01
5.399062500000000320e+00 3.271953422105008391e-01
5.423437500000000355e+00 3.207136505566852147e-01
5.447812500000000391e+00 2.843575834161884419e-01
5.472187500000000426e+00 2.532919090821258989e-01
5.496562500000000462e+00 2.966690157242064529e-01
5.520937500000000497e+00 3.199724869740658839e-01
5.545312500000000533e+00 3.871802330123718106e-01
5.569687500000000568e+00 4.098836247883237971e-01
5.594062500000000604e+00 4.032393342630435917e-01
5.618437499999999751e+00 3.676293269328597679e-01
5.642812499999999787e+00 3.467759639523553816e-01
5.667187499999999822e+00 3.932406286563658315e-01
5.691562499999999858e+00 2.101034956470790027e-01
5.715937499999999893e+00 2.852829980631494400e-01
5.740312499999999929e+00 2.319918109868803480e-01
5.764687499999999964e+00 2.168673502542067533e-01
5.789062500000000000e+00 1.502290257870788626e-01
5.813437500000000036e+00 1.168743239794000077e-01
5.837812500000000071e+00 1.443190504119739315e-01
5.862187500000000107e+00 1.251745878196001971e-01
5.886562500000000142e+00 1.431238615886863685e-01
5.910937500000000178e+00 1.103486400755605001e-01
5.935312500000000213e+00 8.242159718169432547e-02
5.959687500000000249e+00 1.094459927129792509e-01
5.984062500000000284e+00 1.407919045770580635e-01
6.008437500000000320e+00 1.990229867488557125e-01
6.032812500000000355e+00 2.522785407788067369e-01
6.057187500000000391e+00 3.006186334050418019e-01
6.081562500000000426e+00 3.262269206642634534e-01
6.105937500000000462e+00 3.293756397464958630e-01
6.130312500000000497e+00 2.571328069355133805e-01
6.154687500000000533e+00 3.444297899388162887e-01
6.179062500000000568e+00 3.342743978620282830e-01
6.203437500000000604e+00 2.628639019481671668e-01
6.227812500000000639e+00 4.189361286625976066e-01
6.252187499999999787e+00 3.781807072765006050e-01
6.276562499999999822e+00 4.416623968072798112e-01
6.300937499999999858e+00 4.011343818994323462e-01
6.325312499999999893e+00 3.738086759785064217e-01
6.349687499999999929e+00 3.124515036688434999e-01
6.374062499999999964e+00 1.577602251558264390e-01
6.398437500000000000e+00 2.633479053231828626e-01
6.422812500000000036e+00 2.623484825325825831e-01
6.447187500000000071e+00 2.487103289037621290e-01
6.471562500000000107e+00 2.393744628757745185e-01
6.495937500000000142e+00 2.426600410667227314e-01
6.520312500000000178e+00 2.042395195791040230e-01
6.544687500000000213e+00 2.740735543776142702e-01
6.569062500000000249e+00 3.309776774065977256e-01
6.593437500000000284e+00 2.926567637863468074e-01
6.617812500000000320e+00 2.340844194973043524e-01
6.642187500000000355e+00 2.823254770740544206e-01
6.666562500000000391e+00 1.549151002888924655e-01
6.690937500000000426e+00 1.909075023165149876e-01
6.715312500000000462e+00 1.861674349732119482e-01
6.739687500000000497e+00 1.451693230650456801e-01
6.764062500000000533e+00 8.437694438210088799e-02
6.788437500000000568e+00 1.681479502049048058e-01
6.812812500000000604e+00 9.972996876238601760e-02
6.837187500000000639e+00 7.154958614524979665e-02
6.861562500000000675e+00 1.425908270958619328e-01
6.885937499999999822e+00 1.262987384935618795e-01
6.910312499999999858e+00 1.258532402978173870e-01
6.934687499999999893e+00 1.528445025651162525e-01
6.959062499999999929e+00 2.187003111830285451e-01
6.983437499999999964e+00 2.529625420580312034e-01
7.007812500000000000e+00 3.141337916933619745e-01
7.032187500000000036e+00 3.516924631524308564e-01
7.056562500000000071e+00 3.196664152447962759e-01
7.080937500000000107e+00 2.955371459854996830e-01
7.105312500000000142e+00 3.404230309363614482e-01
7.129687500000000178e+00 2.249021606668208384e-01
7.154062500000000213e+00 2.583261037543998495e-01
7.178437500000000249e+00 2.990950866224604821e-01
7.202812500000000284e+00 3.056293235595314295e-01
7.227187500000000320e+00 2.933171061030391824e-01
7.251562500000000355e+00 3.335573563628549953e-01
7.275937500000000391e+00 2.764107127520844531e-01
7.300312500000000426e+00 3.015474628108232302e-01
7.324687500000000462e+00 3.005439770776757169e-01
7.349062500000000497e+00 2.366792280227610623e-01
7.373437500000000533e+00 2.543262562072060584e-01
7.397812500000000568e+00 2.020558741087024046e-01
7.422187500000000604e+00 1.464671331052185277e-01
7.446562500000000639e+00 1.605864688497313786e-01
7.470937500000000675e+00 1.200468994296727682e-01
7.495312499999999822e+00 1.087786390988757096e-01
7.519687499999999858e+00 1.662532523018473152e-01
7.544062499999999893e+00 1.729211322670334283e-01
7.568437499999999929e+00 2.010915904758604766e-01
7.592812499999999964e+00 1.789696710695788118e-01
7.617187500000000000e+00 1.891007862094855330e-01
7.641562500000000036e+00 1.707148020307714675e-01
7.665937500000000071e+00 1.737172384337370978e-01
7.690312500000000107e+00 1.095543980147947877e-01
7.714687500000000142e+00 1.373910299518975031e-01
7.739062500000000178e+00 1.229112969345564077e-01
7.763437500000000213e+00 1.050217630232473387e-01
7.787812500000000249e+00 1.151623620506876666e-01
7.812187500000000284e+00 1.530707214776690916e-01
7.836562500000000320e+00 2.219557923759329920e-01
7.860937500000000355e+00 1.659506680206103701e-01
7.885312500000000391e+00 1.964572485116480305e-01
7.909687500000000426e+00 2.199038127854004987e-01
7.934062500000000462e+00 1.815483738570329020e-01
7.958437500000000497e+00 2.288016245058281661e-01
7.982812500000000533e+00 2.757663056850123695e-01
8.007187500000000568e+00 3.088684189329568008e-01
8.031562499999999716e+00 2.977794612054200374e-01
8.055937500000000639e+00 2.294060860874927721e-01
8.080312499999999787e+00 2.253506196113209681e-01
8.104687500000000711e+00 2.179662204500028289e-01
8.129062499999999858e+00 2.373722776737835216e-01
8.153437500000000782e+00 2.033298777177040828e-01
8.177812499999999929e+00 2.326339003083258139e-01
8.202187500000000853e+00 2.286291010480827057e-01
8.226562500000000000e+00 2.742027472988696202e-01
8.250937500000000924e+00 2.239843765196938286e-01
8.275312500000000071e+00 2.693032287558322357e-01
8.299687500000000995e+00 2.062960534452246142e-01
8.324062500000000142e+00 1.763073989494222393e-01
8.348437500000001066e+00 1.660263754421526239e-01
8.372812500000000213e+00 1.655430381046208710e-01
8.397187500000001137e+00 1.294607896387199863e-01
8.421562500000000284e+00 9.681456301853626212e-02
8.445937499999999432e+00 1.061886715012834437e-01
8.470312500000000355e+00 9.625735690044398551e-02
8.494687499999999503e+00 7.358554997865121572e-02
8.519062500000000426e+00 6.699456957377109001e-02
8.543437499999999574e+00 9.861458651545723653e-02
8.567812500000000497e+00 1.205384919744298261e-01
8.592187499999999645e+00 1.107073383736784794e-01
8.616562500000000568e+00 1.356271150857976393e-01
8.640937499999999716e+00 1.604063006740120423e-01
8.665312500000000639e+00 1.630914617150513446e-01
8.689687499999999787e+00 1.282306397792497277e-01
8.714062500000000711e+00 1.341096089030194560e-01
8.738437499999999858e+00 2.052684779648240310e-01
8.762812500000000782e+00 1.736827227893035785e-01
8.787187499999999929e+00 1.762938138516453035e-01
8.811562500000000853e+00 2.251552329342565717e-01
8.835937500000000000e+00 1.660937289413177975e-01
8.860312500000000924e+00 2.055123257253174407e-01
8.884687500000000071e+00 1.713002437386958732e-01
8.909062500000000995e+00 1.860843887731108703e-01
8.933437500000000142e+00 1.886188953542578817e-01
8.957812500000001066e+00 2.184452670883544612e-01
8.982187500000000213e+00 1.966723698768682305e-01
9.006562500000001137e+00 1.931225635963801091e-01
9.030937500000000284e+00 2.527892260840269301e-01
9.055312499999999432e+00 1.740751034839343736e-01
9.079687500000000355e+00 2.214995912926100152e-01
9.104062499999999503e+00 1.910543165966866463e-01
9.128437500000000426e+00 1.607716334879244757e-01
9.152812499999999574e+00 1.187729481505700319e-01
9.177187500000000497e+00 1.391875415295707186e-01
9.201562499999999645e+00 1.713083468722691738e-01
9.225937500000000568e+00 1.237231284863037906e-01
9.250312499999999716e+00 1.939097479588654249e-01
9.274687500000000639e+00 1.347940297900653839e-01
9.299062499999999787e+00 1.958158070803483475e-01
9.323437500000000711e+00 1.107693592915348496e-01
9.347812499999999858e+00 1.192026677478553176e-01
9.372187500000000782e+00 1.246922891621052576e-01
9.396562499999999929e+00 8.098435647568696938e-02
9.420937500000000853e+00 8.942926927210284593e-02
9.445312500000000000e+00 9.207585451466124282e-02
9.469687500000000924e+00 7.748903055499060943e-02
9.494062500000000071e+00 4.866412801791807075e-02
9.518437500000000995e+00 4.568424279696700618e-02
9.542812500000000142e+00 4.841552455422500761e-02
9.567187500000001066e+00 5.965503711091208611e-02
9.591562500000000213e+00 1.218403689525526523e-01
9.615937500000001137e+00 1.073999491229710584e-01
9.640312500000000284e+00 1.353200769573877638e-01
9.664687500000001208e+00 1.687234881357088379e-01
9.689062500000000355e+00 1.795189616323584203e-01
9.713437499999999503e+00 1.874623096641227227e-01
9.737812500000000426e+00 2.176934216759727758e-01
9.762187499999999574e+00 1.698223323260225626e-01
9.786562500000000497e+00 1.555141689732369992e-01
9.810937499999999645e+00 1.883694694457549446e-01
9.835312500000000568e+00 1.602698908160634372e-01
9.859687499999999716e+00 1.874381000047376511e-01
9.884062500000000639e+00 1.567297654587376798e-01
9.908437499999999787e+00 1.206867558021966630e-01
9.932812500000000711e+00 1.532243897981709346e-01
9.957187499999999858e+00 1.719554619292509023e-01
9.981562500000000782e+00 1.660899733738022688e-01
1.000593749999999993e+01 1.792661372725685986e-01
1.003031250000000085e+01 1.192203310658394716e-01
1.005468750000000000e+01 1.378522026398479317e-01
1.007906250000000092e+01 1.348223761503598572e-01
1.010343750000000007e+01 8.607815108427317730e-02
1.012781250000000099e+01 9.392138815095464610e-02
1.015218750000000014e+01 9.904993728270976294e-02
1.017656250000000107e+01 9.347146533346505082e-02
1.020093750000000021e+01 9.591234845277211984e-02
1.022531250000000114e+01 1.116309991229225140e-01
1.024968750000000028e+01 8.750148555337625145e-02
1.027406250000000121e+01 8.464862069853197613e-02
1.029843750000000036e+01 1.161163697836519321e-01
1.032281249999999950e+01 1.237405180304212010e-01
1.034718750000000043e+01 8.405039723069782087e-02
1.037156249999999957e+01 8.123246198276794228e-02
1.039593750000000050e+01 7.319922490358106437e-02
1.042031249999999964e+01 8.867685549931739186e-02
1.044468750000000057e+01 6.765345932287133990e-02
1.046906249999999972e+01 7.787993369709961256e-02
1.049343750000000064e+01 6.733915753739924681e-02
1.051781249999999979e+01 6.459913387969154486e-02
1.054218750000000071e+01 7.991771693333586668e-02
1.056656249999999986e+01 9.516562601672112764e-02
1.059093750000000078e+01 9.751272710934887067e-02
1.061531249999999993e+01 8.448765711870198647e-02
1.063968750000000085e+01 1.277183334207876164e-01
1.066406250000000000e+01 9.939259652520128496e-02
1.068843750000000092e+01 1.169649448919495988e-01
1.071281250000000007e+01 1.496789123891810736e-01
1.073718750000000099e+01 1.695884912625491292e-01
1.076156250000000014e+01 1.666789339759669752e-01
1.078593750000000107e+01 1.511838712899628290e-01
1.081031250000000021e+01 1.684413312314608779e-01
1.083468750000000114e+01 1.454868412694749202e-01
1.085906250000000028e+01 1.601768512881312223e-01
1.088343750000000121e+01 8.740053029500931270e-02
1.090781250000000036e+01 1.071378439839764385e-01
1.093218749999999950e+01 1.068989636183488717e-01
1.095656250000000043e+01 9.673917904288223402e-02
1.098093749999999957e+01 1.088993701078644627e-01
1.100531250000000050e+01 8.643263959406789765e-02
1.102968749999999964e+01 1.084180469250672907e-01
1.105406250000000057e+01 8.605145926509737142e-02
1.107843749999999972e+01 8.095571985741410737e-02
1.110281250000000064e+01 6.364326524665285534e-02
1.112718749999999979e+01 5.129157079087184185e-02
1.115156250000000071e+01 7.067639447462470415e-02
1.117593749999999986e+01 5.349963602354738251e-02
1.120031250000000078e+01 4.853018719318719781e-02
1.122468749999999993e+01 6.779472187052622278e-02
1.124906250000000085e+01 8.455977633092449930e-02
1.127343750000000000e+01 5.303693646874913653e-02
1.129781250000000092e+01 4.330023498110586316e-02
1.132218750000000007e+01 6.241013416544752973e-02
1.134656250000000099e+01 5.509036341044026841e-02
1.137093750000000014e+01 7.648315889481507868e-02
1.139531250000000107e+01 6.439462753072480727e-02
1.141968750000000021e+01 7.615665661564829936e-02
1.144406250000000114e+01 9.736788728711931462e-02
1.146843750000000028e+01 8.531204639210442087e-02
1.149281250000000121e+01 7.803684978832385599e-02
1.151718750000000036e+01 6.607295115635412885e-02
1.154156250000000128e+01 7.535246805582097862e-02
1.156593750000000043e+01 9.164227814494321778e-02
1.159031249999999957e+01 1.031738511747485876e-01
1.161468750000000050e+01 8.189787361326685000e-02
1.163906249999999964e+01 9.340155399065767916e-02
1.166343750000000057e+01 1.025269931736529777e-01
1.168781249999999972e+01 7.673487940603693214e-02
1.171218750000000064e+01 7.657518142600355793e-02
1.173656249999999979e+01 7.178486515818849334e-02
1.176093750000000071e+01 1.270962855792563129e-01
1.178531249999999986e+01 1.153031076280740530e-01
1.180968750000000078e+01 1.035586115260194312e-01
1.183406249999999993e+01 1.148281205729635435e-01
1.185843750000000085e+01 9.854919873140692566e-02
1.188281250000000000e+01 8.233706221022592253e-02
1.190718750000000092e+01 8.445097006806266682e-02
1.193156250000000007e+01 6.605607859477181931e-02
1.195593750000000099e+01 5.682879973310275140e-02
1.198031250000000014e+01 5.217612241619521557e-02
1.200468750000000107e+01 6.112586471190629978e-02
1.202906250000000021e+01 6.778000308592559142e-02
1.205343750000000114e+01 5.411434826759033145e-02
1.207781250000000028e+01 7.425706291663916603e-02
1.210218750000000121e+01 3.593090999439197547e-02
1.212656250000000036e+01 5.378803058959481104e-02
1.215093750000000128e+01 4.026009812185068343e-02
1.217531250000000043e+01 4.241169162063271325e-02
1.219968749999999957e+01 3.564374987455667249e-02
1.222406250000000050e+01 2.890279892308113274e-02
1.224843749999999964e+01 3.106414867798739168e-02
1.227281250000000057e+01 4.650367838338231169e-02
1.229718749999999972e+01 2.652085750081608143e-02
1.232156250000000064e+01 3.749688993665497433e-02
1.234593749999999979e+01 5.283227091475502929e-02
1.237031250000000071e+01 4.613714692814383650e-02
1.239468749999999986e+01 5.700984723667724269e-02
1.241906250000000078e+01 5.689795352276815626e-02
1.244343749999999993e+01 4.368192167535656090e-02
1.246781250000000085e+01 5.667547863118353041e-02
1.249218750000000000e+01 8.267176571514554817e-02
1.251656250000000092e+01 8.902477717877803343e-02
1.254093750000000007e+01 7.584905107234529709e-02
1.256531250000000099e+01 6.488735503958154016e-02
1.258968750000000014e+01 7.987279550483759871e-02
1.261406250000000107e+01 7.325479367334913894e-02
1.263843750000000021e+01 7.096311412766578841e-02
1.266281250000000114e+01 5.794896702716815368e-02
1.268718750000000028e+01 7.283257584237882998e-02
1.271156250000000121e+01 6.627883523234467944e-02
1.273593750000000036e+01 4.694657055846214455e-02
1.276031250000000128e+01 5.324646851783551571e-02
1.278468750000000043e+01 3.826436399188287707e-02
1.280906249999999957e+01 6.153082868152389556e-02
1.283343750000000050e+01 6.141396101071377317e-02
1.285781249999999964e+01 4.861528752144066157e-02
1.288218750000000057e+01 2.531650446388214112e-02
1.290656249999999972e+01 4.422021164501038076e-02
1.293093750000000064e+01 5.254387609629952716e-02
1.295531249999999979e+01 5.034721583880230611e-02
1.297968750000000071e+01 6.909741723041259998e-02
1.300406249999999986e+01 4.806853639655098154e-02
1.302843750000000078e+01 3.754847317819002411e-02
1.305281249999999993e+01 2.498556976500786869e-02
1.307718750000000085e+01 3.325199778604961270e-02
1.310156250000000000e+01 2.281821685283392728e-02
1.312593750000000092e+01 4.141062398378740628e-02
1.315031250000000007e+01 2.066693328569927865e-02
1.317468750000000099e+01 2.681730556877925248e-02
1.319906250000000014e+01 2.264966123434577344e-02
1.322343750000000107e+01 3.493949836493841221e-02
1.324781250000000021e+01 2.461779688898198953e-02
1.327218750000000114e+01 3.071573142599107534e-02
1.329656250000000028e+01 2.248357755893351864e-02
1.332093750000000121e+01 3.876420853523521171e-02
1.334531250000000036e+01 2.443794083865153191e-02
1.336968750000000128e+01 3.659008006151789894e-02
1.339406250000000043e+01 3.246532631886372283e-02
1.341843749999999957e+01 2.430476404934008364e-02
1.344281250000000050e+01 4.447793856173430649e-02
1.346718749999999964e+01 5.246969650651652634e-02
1.349156250000000057e+01 3.827396560886368176e-02
1.351593749999999972e+01 3.016179578260079486e-02
1.354031250000000064e+01 3.813616555266614860e-02
1.356468749999999979e+01 5.209255583081828789e-02
1.358906250000000071e+01 3.999932020676147393e-02
1.361343749999999986e+01 4.791324121454508533e-02
1.363781250000000078e+01 4.782760539467993677e-02
1.366218749999999993e+01 5.967784393024849754e-02
1.368656250000000085e+01 3.177149922033057489e-02
1.371093750000000000e+01 4.360814776319373726e-02
1.373531250000000092e+01 3.165873436063107449e-02
1.375968750000000007e+01 3.950331446460500495e-02
1.378406250000000099e+01 3.549011302164910286e-02
1.380843750000000014e+01 1.968192499141175472e-02
1.383281250000000107e+01 3.143558909641518129e-02
1.385718750000000021e+01 2.941902508610754960e-02
1.388156250000000114e+01 1.566259597209447921e-02
1.390593750000000028e+01 1.758953454315737713e-02
1.393031250000000121e+01 1.950972967215181333e-02
1.395468750000000036e+01 2.142321669589211316e-02
1.397906250000000128e+01 1.749752302854626351e-02
1.400343750000000043e+01 1.940785118822412753e-02
1.402781250000000135e+01 1.937412772829671601e-02
1.405218750000000050e+01 9.670260631079584390e-03
1.407656249999999964e+01 3.089124989128244625e-02
1.410093750000000057e+01 1.734629119597455929e-02
1.412531249999999972e+01 2.308847732383384477e-02
1.414968750000000064e+01 2.112797856743882027e-02
1.417406249999999979e+01 1.917422271304343798e-02
