0.401533   0.006066   0.377869   0.000096   0.217028   0.795681   0.000087   0.001418  0.506
0.402945   0.006403   0.375227   0.000113   0.106967   0.056401   0.000063   0.001431  0.507
0.402233   0.006655   0.371140   0.000122   0.081785   0.007178   0.000094   0.001365  0.508
0.402165   0.006768   0.366211   0.000128   0.087377   0.003511   0.000075   0.001370  0.509
0.402030   0.005591   0.360577   0.000129   0.082086   0.008999   0.000181   0.003235  0.510
0.404457   0.005288   0.354242   0.000128   0.050378   0.004429   0.000068   0.001379  0.511
0.404003   0.004500   0.347182   0.000124   0.056822   0.004599   0.000095   0.001389  0.512
0.403786   0.004666   0.339332   0.000119   0.079590   0.004743   0.000092   0.001395  0.513
0.403650   0.004809   0.330613   0.000112   0.074327   0.005006   0.000095   0.001401  0.514
0.403689   0.004938   0.320897   0.000104   0.167516   0.030055   0.000088   0.001406  0.515
0.403762   0.005042   0.310021   0.000096   0.267641   0.017268   0.000085   0.001465  0.516
0.403837   0.005108   0.297675   0.000113   0.106199   0.005153   0.000096   0.001422  0.517
0.403859   0.005159   0.283714   0.000118   0.123735   0.005415   0.000085   0.001430  0.518
0.403715   0.005119   0.267843   0.000063   0.169329   0.010556   0.000097   0.001440  0.519
0.403420   0.005012   0.249009   0.000053   0.190656   0.008802   0.000086   0.001449  0.520
0.401231   0.004781   0.223300   0.000375   0.176853   0.004749   0.000095   0.001466  0.521
0.398823   0.003948   0.180019   0.001556   0.319675   0.005550   0.000133   0.000495  0.522
0.398202   0.003695   0.138512   0.002141   0.234845   0.003799   0.000035   0.001481  0.523
0.389531   0.002291   0.113424   0.003750   0.328164   0.007970   0.000120   0.001519  0.524
0.388284   0.002371   0.082119   0.006496   0.305900   0.004418   0.000024   0.001516  0.525
0.368677   0.004343   0.045362   0.008203   0.323315   0.006204   0.000047   0.001529  0.526
0.371532   0.004817   0.036140   0.009005   0.331324   0.007097   0.000053   0.001544  0.527
0.368725   0.006776   0.016727   0.005089   0.043452   0.110415   0.000066   0.000508  0.528
0.366406   0.006440   0.015333   0.010351   0.339725   0.008440   0.000058   0.001514  0.529
0.337650   0.009241   0.011004   0.002060   0.340685   0.008970   0.000117   0.000141  0.530
0.333276   0.009645   0.016686   0.006267   0.342374   0.010065   0.000023   0.001489  0.531
0.334568   0.009775   0.017539   0.006229   0.344973   0.010180   0.000116   0.000131  0.532
0.343082   0.009250   0.018038   0.006228   0.349754   0.009507   0.000125   0.001507  0.533
0.347846   0.009065   0.013461   0.005864   0.352794   0.008885   0.000112   0.001521  0.534
0.338879   0.008729   0.014613   0.005814   0.352214   0.010309   0.000099   0.001513  0.535
0.342024   0.008523   0.013432   0.005782   0.355428   0.010195   0.000120   0.001519  0.536
0.346866   0.008488   0.011796   0.005946   0.358662   0.010220   0.000119   0.001523  0.537
0.349833   0.008365   0.011482   0.005966   0.361315   0.010150   0.000121   0.001522  0.538
0.354032   0.008295   0.010842   0.005990   0.364401   0.010041   0.000070   0.001542  0.539
0.356425   0.008110   0.010067   0.005909   0.366397   0.009894   0.000100   0.001525  0.540
0.359808   0.007943   0.009501   0.005813   0.369183   0.009735   0.000078   0.001541  0.541
0.362172   0.008052   0.008844   0.005708   0.370920   0.009727   0.000080   0.001528  0.542
0.364675   0.007970   0.008081   0.005585   0.372756   0.009643   0.000070   0.001543  0.543
0.367393   0.007764   0.007705   0.005549   0.374908   0.009370   0.000057   0.001534  0.544
0.369517   0.007678   0.007376   0.005486   0.376893   0.009268   0.000045   0.001561  0.545
0.371942   0.007509   0.006842   0.005440   0.378785   0.009121   0.000030   0.001563  0.546
0.374042   0.007610   0.006564   0.005424   0.380519   0.009217   0.000019   0.001569  0.547
0.376034   0.007627   0.006171   0.005324   0.382203   0.009059   0.000006   0.001560  0.548
0.378003   0.007475   0.005800   0.005283   0.383783   0.009009   0.000006   0.001561  0.549
0.379793   0.007433   0.005534   0.005124   0.385327   0.008877   0.000015   0.001587  0.550
0.388464   0.007295   0.004109   0.004574   0.392573   0.008421   0.000037   0.001563  0.555
0.397031   0.006778   0.003940   0.004429   0.400249   0.007817   0.000092   0.001624  0.560
0.404307   0.006420   0.003281   0.004043   0.407327   0.007355   0.000108   0.001594  0.565
0.411143   0.006252   0.002722   0.003817   0.413648   0.007200   0.000094   0.001606  0.570
